"OBJECTID","PIN","PARCELNB","TOWNSHIP","SECTION_","BLOCK","PARCEL","SHAPE_STAr","SHAPE_STLe","Acres"
108418,"172105211006","0172105211006","1721","052","11","006",75729.40625000000,1156.55721818000,70
108419,"172105005003","0172105005003","1721","050","05","003",73949.23193360000,1147.58247749000,69
108421,"172105000021","0172105000021","1721","050","00","021",438212.11181600000,2689.11317280000,407
108422,"172105208014","0172105208014","1721","052","08","014",163815.56933600000,1592.74066963000,152
108423,"172105208015","0172105208015","1721","052","08","015",243569.95214800000,2854.59518224000,226
108475,"172105000047","0172105000047","1721","050","00","047",887440.03613300000,4192.51438927000,824
108520,"172105000007","0172105000007","1721","050","00","007",196191.55175800000,2145.95805079000,182
108521,"172105000024","0172105000024","1721","050","00","024",196191.55175800000,2145.95805079000,182
108525,"172105321043","0172105321043","1721","053","21","043",111082.99169900000,1289.62781143000,103
108526,"172105321044","0172105321044","1721","053","21","044",120559.85546900000,3460.14088212000,112
108731,"172105317031","0172105317031","1721","053","17","031",153187.49609400000,2287.69562943000,142
108858,"172105000014","0172105000014","1721","050","00","014",1753184.18799000000,6619.07339420000,1629
108859,"172105000027","0172105000027","1721","050","00","027",41449.42333980000,988.03261708800,39
108860,"172105309023","0172105309023","1721","053","09","023",34566.25927730000,1215.31411747000,32
108861,"172105321047","0172105321047","1721","053","21","047",518308.03027300000,9205.63167250000,482
108862,"172105000019","0172105000019","1721","050","00","019",293035.36816400000,3542.62171076000,272
108866,"172105307024","0172105307024","1721","053","07","024",91218.70068360000,2551.40515041000,85
108870,"172105315012","0172105315012","1721","053","15","012",126832.19775400000,1622.50675688000,118
109000,"172107207027","0172107207027","1721","072","07","027",224084.92187500000,2020.80432077000,208
109052,"172107100002","0172107100002","1721","071","00","002",193365.36230500000,1975.36557219000,180
109077,"172105201012","0172105201012","1721","052","01","012",172647.79785200000,3050.33128959000,160
109091,"172105000023","0172105000023","1721","050","00","023",85649.75390630000,1579.06516792000,80
109095,"172105204001","0172105204001","1721","052","04","001",40090.00097660000,926.85586215000,37
109100,"172105000020","0172105000020","1721","050","00","020",47051.43261720000,1153.40126055000,44
109104,"172105000015","0172105000015","1721","050","00","015",36812.79199220000,1119.64608925000,34
